,Participant,Difficulty,Incentive,Drift Rate,Boundary Separation,Non-decision Time
1,1,med,gain,1.1309530239696403e-08,0.813640628693033,0.3305651431099687
1,1,med,loss,0.1526689845335798,0.954986214789837,0.36545314573328846
1,1,med,none,0.09469881876714382,0.9480984668425971,0.3940348215532331
2,2,med,gain,0.28400792507431766,0.8083812981991356,0.5250260347863365
2,2,med,loss,0.19588817553711654,0.814855346642572,0.5076184495573673
2,2,med,none,0.15667150937601793,1.0093338031467833,0.18832441859061272
3,3,med,gain,0.20339045190704408,0.571395983881651,0.21767818650591442
3,3,med,loss,0.1099303825441452,0.5,0.23320544533486692
3,3,med,none,0.14537702001513814,0.5,0.22410026787875736
4,4,med,gain,0.5066102115689358,0.769628251995893,0.28766262694144656
4,4,med,loss,0.4567285213369955,0.7417603234219462,0.22588688173603633
4,4,med,none,0.428355078751477,0.731066585167674,0.2253341403093556
5,5,med,gain,0.0,0.6232060725132008,0.32305052166274173
5,5,med,loss,0.0,0.604448533939647,0.38236881956010826
5,5,med,none,0.10236917842975407,0.5333844245193846,0.39501985447273935
6,6,med,gain,0.553720729715174,0.8785303226739783,0.2796920472798799
6,6,med,loss,0.0,0.9101446369610126,0.19878810634311128
6,6,med,none,0.42829864395556183,0.8914730145126647,0.19576876017366862
7,7,med,gain,0.06947525124427792,0.8660818620287605,0.2034948108376332
7,7,med,loss,0.0,0.727203085916473,0.37938599843969767
7,7,med,none,0.27569149028851847,0.8253187571323503,0.21742972079209244
8,8,med,gain,1.1278066329672258,0.6748819701305027,0.5469273596560505
8,8,med,loss,1.1011433769817103,0.6055409932224064,0.5165264165907393
8,8,med,none,0.8366819025254473,0.6645753843432756,0.4416290099235601
9,9,med,gain,0.0,0.5408583511621612,0.25240027197618603
9,9,med,loss,0.0,0.5806019956688356,0.22737314090333588
9,9,med,none,0.0,0.5831957364047281,0.2143694301246159
10,10,med,gain,0.46839310378024845,0.6737294290004114,0.4928745076867098
10,10,med,loss,0.14273141465669487,0.6757975275233153,0.3162494861373345
10,10,med,none,0.2980422337850974,0.7246069330785389,0.3453331627886566
11,11,med,gain,1.2578771665850317,0.9428248257482359,0.4272270933534989
11,11,med,loss,1.146263272123035,0.8507422675275618,0.42287651373360324
11,11,med,none,1.1914209204802668,1.001095840548932,0.47122182889925696
12,12,med,gain,0.060913550815737676,0.5650882111145633,0.21753181504230984
12,12,med,loss,0.021158215094231048,0.5552507704607187,0.23557925877591446
12,12,med,none,0.0,0.6264969265805536,0.26294717734506684
13,13,med,gain,0.6057890247850344,0.8706630817229113,0.39774442551830896
13,13,med,loss,1.2015359665309677,0.795473126233963,0.3695282880008329
13,13,med,none,0.7740817738663542,0.7209730041628667,0.3913337104511896
14,14,med,gain,1.0480999638173052,0.8603860405668644,0.2826687562622961
14,14,med,loss,0.0,0.960297860791715,0.3404705520188356
14,14,med,none,1.0304065375456355,0.8872297608140711,0.3969170972154492
15,15,med,gain,1.004773388565171,0.8199115121178698,0.4320552269981049
15,15,med,loss,0.9977906523061073,0.752494521525561,0.3859473465526156
15,15,med,none,1.2413900820984252,0.9199942035452973,0.4898004687321478
16,16,med,gain,0.2856494471950984,0.8295735473743177,0.1381131174366828
16,16,med,loss,0.11502166256537147,0.8756368157446094,0.1256672576402506
16,16,med,none,0.2905735313882215,0.684615504100342,0.1833916340187458
17,17,med,gain,0.07505910853179405,0.7497651094634997,0.2821336569590055
17,17,med,loss,0.21989611077295187,0.6962070068394662,0.4002628434025626
17,17,med,none,0.01676623550560221,0.6783544799950666,0.260551807349032
18,18,med,gain,1.5453856948836688,0.7029741381130686,0.3982489329165926
18,18,med,loss,0.0,0.6674846447698576,0.3903781898978609
18,18,med,none,1.00398910846183,0.6949905547261072,0.25701451456185226
19,19,med,gain,0.0413691207880894,0.7402643044752326,0.18319628213051808
19,19,med,loss,0.1703324910764004,0.8323152620184573,0.19720124377242393
19,19,med,none,0.06733580467581603,0.7854121094015476,0.1954676877831677
20,20,med,gain,0.21212136242297103,0.8258093126846161,0.33452475281346816
20,20,med,loss,0.26387403477388044,0.7593783227381953,0.2836443873163771
20,20,med,none,0.30896856343528883,0.7799448626392974,0.29985027022792304
21,21,med,gain,0.9200952286536787,0.85052022656676,0.41481614302220715
21,21,med,loss,0.8898934635877148,0.7373280693499156,0.4474972091516419
21,21,med,none,0.7909733805877742,0.7780189326835524,0.3906611721611644
22,22,med,gain,1.3357033375548566,0.6790939346533081,0.37664361139947644
22,22,med,loss,0.7000945083988621,0.6951588389889815,0.4243898260596277
22,22,med,none,1.2560277741423431,0.6749729819628266,0.41899578096660384
23,23,med,gain,0.08354330108126656,0.8210804803257479,0.19286926965459522
23,23,med,loss,0.16707804472461443,0.8254992291563622,0.1679213645011131
23,23,med,none,0.029404200665095862,0.789394419402595,0.2439407169753165
24,24,med,gain,0.2010543813878832,0.8115327500211874,0.47658658530433895
24,24,med,loss,0.0,0.694494474665794,0.5789039133899574
24,24,med,none,0.1461490371827236,0.8028803208354347,0.34116130295458585
25,25,med,gain,1.1713291483037644,0.6065158577645295,0.38079713070654964
25,25,med,loss,1.459552613246085,0.7176828719701505,0.3402442816144433
25,25,med,none,0.6307977174752779,0.5827146681578496,0.3624282842713891
26,26,med,gain,0.9330910116350988,0.7568437567923768,0.4120193418119529
26,26,med,loss,0.9668166521749904,0.6920473742847721,0.320261410166885
26,26,med,none,0.8431462396682599,0.7454489114109423,0.47475875994219463
27,27,med,gain,1.137780144681571,0.8176846698663105,0.4682127726486994
27,27,med,loss,0.7004320672857347,0.7818011971424238,0.5350748344848167
27,27,med,none,1.1964058093478611,0.8135189438381034,0.5118344956483121
28,28,med,gain,0.0,0.9241829438949737,0.26716009902465454
28,28,med,loss,0.11032165814645303,0.880218443731657,0.28554090882498717
28,28,med,none,0.23442002871323706,0.9081294485276312,0.2586578589856161
29,29,med,gain,0.7428706082512949,0.7185633403909075,0.5106210060521749
29,29,med,loss,0.0,0.9811021098201027,0.18296147395918838
29,29,med,none,0.43675355432051516,0.9052946385526512,0.5205742846779723
30,30,med,gain,1.638391452570358,0.7775276979253191,0.48325492434087547
30,30,med,loss,0.38484568683888587,0.7712949848235853,0.3954730440175213
30,30,med,none,1.0683741076876303,0.6808894019730309,0.491705672972145
31,31,med,gain,0.1300127428553444,0.8567163152964005,0.4434172094477282
31,31,med,loss,0.5835728960266303,0.9066407806566769,0.33207726283925953
31,31,med,none,0.5459379398531924,0.934940432540917,0.44181699539415076
32,32,med,gain,0.9962346611564237,0.7524973175873175,0.43114835237997207
32,32,med,loss,0.6844827539192871,0.8889050916343789,0.3366868681366592
32,32,med,none,1.2005081116324345,0.6621230691255146,0.4608465589114862
33,33,med,gain,0.16492814808326117,0.7763993439468614,0.251071363337913
33,33,med,loss,0.04981599722357816,0.7233154396229821,0.21954162041638509
33,33,med,none,0.06892289192295294,0.6675145448062018,0.2658056047266593
34,34,med,gain,1.1204126507484462,0.6317830722725153,0.48359896719585815
34,34,med,loss,0.8244525225070585,0.8081866890214591,0.3512312605514819
34,34,med,none,1.0797685016568737,0.7091794971365862,0.460193928180067
35,35,med,gain,0.3401431924370991,0.7596370863855143,0.2612948048198814
35,35,med,loss,0.0949154327689383,0.7222481532211499,0.280278197821865
35,35,med,none,0.12362624850880309,0.7388367321283776,0.26416267318480346
